"PVWatts Hourly PV Performance Data"
"Requested Location","unalaska"
"Location","Lat, Lng: 53.89, -166.54"
"Latitude (DD)","53.89"
"Longitude (DD)","-166.54"
"Elevation (m)","0"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"10","21","20","0","0","5","11.5","0.08","0","5","0","0"
"10","21","21","0","0","5","11.3","0.08","0","5","0","0"
"10","21","22","0","0","5","11.1","0.08","0","5","0","0"
"10","21","23","0","0","5","11","0.08","0","5","0","0"
"10","22","0","0","0","5","11.1","0.08","0","5","0","0"
"10","22","1","0","0","5","11.2","0.08","0","5","0","0"
"10","22","2","0","0","5","11.1","0.08","0","5","0","0"
"10","22","3","0","0","5","10.9","0.08","0","5","0","0"
"10","22","4","0","0","5","10.7","0.08","0","5","0","0"
"10","22","5","0","0","5","10.3","0.08","0","5","0","0"
"10","22","6","0","0","4","9.9","0.08","0","4","0","0"
"10","22","7","0","0","4","9.5","0.08","0","4","0","0"
"10","22","8","0","0","4","9.2","0.08","0","4","0","0"
"10","22","9","0","16","4","9.2","0.08","14.804","4.14","40.868","23.565"
"10","22","10","0","57","5","9.2","0.08","54.028","5.535","185.233","162.816"
"10","22","11","276","114","5","9.2","0.08","286.405","7.853","1051.484","998.372"
"10","22","12","0","85","5","9.1","0.08","79.749","5.798","278.9","253.164"
"10","22","13","148","175","5","8.8","0.08","298.661","8.07","1086.894","1032.527"
"10","22","14","0","113","5","8.3","0.08","108.124","6.158","381.185","351.824"
"10","22","15","0","52","5","7.5","0.08","48.2","5.556","165.656","143.932"
"10","22","16","0","52","5","6.5","0.08","48.204","5.615","165.732","144.006"
"10","22","17","0","17","5","5.5","0.08","15.719","5.223","50.73","33.079"
"10","22","18","0","2","5","4.6","0.08","1.903","5.025","3.455","0"
"10","22","19","0","0","5","3.6","0.08","0","5","0","0"
"10","22","20","0","0","4","2.8","0.08","0","4","0","0"
"10","22","21","0","0","4","2.8","0.08","0","4","0","0"
"10","22","22","0","0","4","3.2","0.08","0","4","0","0"
"10","22","23","0","0","4","3.9","0.08","0","4","0","0"
"10","23","0","0","0","5","4.7","0.08","0","5","0","0"
"10","23","1","0","0","5","5.4","0.08","0","5","0","0"
"10","23","2","0","0","5","6.1","0.08","0","5","0","0"
"10","23","3","0","0","5","6.8","0.08","0","5","0","0"
"10","23","4","0","0","5","7.6","0.08","0","5","0","0"
"10","23","5","0","0","5","8.4","0.08","0","5","0","0"
"10","23","6","0","0","5","9.2","0.08","0","5","0","0"
"10","23","7","0","0","5","10","0.08","0","5","0","0"
"10","23","8","0","0","6","10.8","0.08","0","6","0","0"
"10","23","9","0","2","6","11.5","0.08","1.845","6.014","4.348","0"
"10","23","10","0","9","7","12.1","0.08","8.316","7.066","26.111","9.332"
"10","23","11","0","9","7","12.7","0.08","8.32","7.064","26.369","9.581"
"10","23","12","0","15","7","13.1","0.08","13.878","7.104","44.927","27.481"
"10","23","13","0","19","7","13.3","0.08","17.586","7.13","57.421","39.532"
"10","23","14","0","48","8","13.2","0.08","44.487","8.332","150.364","129.182"
"10","23","15","0","25","8","13.1","0.08","23.14","8.174","76.307","57.749"
"10","23","16","0","14","8","12.9","0.08","12.945","8.098","41.625","24.296"
"10","23","17","0","40","8","12.8","0.08","37.268","8.284","122.885","102.676"
"10","23","18","0","5","8","12.6","0.08","4.756","8.031","8.892","0"
"10","23","19","0","0","8","12.2","0.08","0","8","0","0"
"10","23","20","0","0","8","11.2","0.08","0","8","0","0"
"10","23","21","0","0","8","9.7","0.08","0","8","0","0"
"10","23","22","0","0","8","7.8","0.08","0","8","0","0"
"10","23","23","0","0","7","5.9","0.08","0","7","0","0"
"10","24","0","0","0","7","5.5","0.08","0","7","0","0"
"10","24","1","0","0","7","6.2","0.08","0","7","0","0"
"10","24","2","0","0","7","6.7","0.08","0","7","0","0"
"10","24","3","0","0","6","7.1","0.08","0","6","0","0"
"10","24","4","0","0","6","7.5","0.08","0","6","0","0"
"10","24","5","0","0","6","7.5","0.08","0","6","0","0"
"10","24","6","0","0","6","7","0.08","0","6","0","0"
"10","24","7","0","0","6","6.7","0.08","0","6","0","0"
"10","24","8","0","0","6","6.8","0.08","0","6","0","0"
"10","24","9","134","30","6","7.4","0.08","66.79","6.686","158.771","137.291"
"10","24","10","323","64","7","8","0.08","213.432","9.338","747.419","705.081"
"10","24","11","454","88","7","8.3","0.08","360.805","10.886","1321.717","1259.029"
"10","24","12","458","115","7","8.4","0.08","440.914","11.705","1612.328","1539.343"
"10","24","13","519","117","8","8.4","0.08","507.43","13.414","1845.773","1764.515"
"10","24","14","304","152","8","8.4","0.08","385.865","12.112","1399.314","1333.877"
