"PVWatts Hourly PV Performance Data"
"Requested Location","Paris"
"Location","Lat, Lng: 48.85, 2.34"
"Latitude (DD)","48.85"
"Longitude (DD)","2.34"
"Elevation (m)","49"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","23","14","54","389","21.5","1.8","0.2","439.894","32.604","1425.294","1358.936"
"4","23","15","74","362","20.9","1.6","0.2","418.7","31.954","1368.034","1303.705"
"4","23","16","53","285","20","1.4","0.2","311.914","28.633","1033.992","981.499"
"4","23","17","9","174","18.7","1.3","0.2","167.546","23.455","559.981","524.285"
"4","23","18","2","84","17.2","1.2","0.2","77.802","19.458","255.315","230.414"
"4","23","19","0","13","15.6","1.3","0.2","12.069","15.889","23.108","6.435"
"4","23","20","0","0","14.4","1.4","0.2","0","14.4","0","0"
"4","23","21","0","0","13.5","1.4","0.2","0","13.5","0","0"
"4","23","22","0","0","12.9","1.3","0.2","0","12.9","0","0"
"4","23","23","0","0","12.5","1.3","0.2","0","12.5","0","0"
"4","24","0","0","0","12.1","1.4","0.2","0","12.1","0","0"
"4","24","1","0","0","11.9","1.6","0.2","0","11.9","0","0"
"4","24","2","0","0","12","2.1","0.2","0","12","0","0"
"4","24","3","0","0","12.4","2.9","0.2","0","12.4","0","0"
"4","24","4","0","0","12.9","3.8","0.2","0","12.9","0","0"
"4","24","5","0","0","13.2","4.3","0.2","0","13.2","0","0"
"4","24","6","0","20","13.5","4.5","0.2","18.566","13.796","55.882","38.047"
"4","24","7","0","13","14.3","5.2","0.2","12.058","14.478","37.473","20.29"
"4","24","8","8","165","14.9","6.1","0.2","159.312","17.019","543.873","508.747"
"4","24","9","62","297","15.7","6.1","0.2","334.223","20.138","1143.482","1087.11"
"4","24","10","0","189","16.5","5.8","0.2","178.837","18.949","596.925","559.919"
"4","24","11","1","248","16.7","5.6","0.2","237.687","20.026","793.246","749.284"
"4","24","12","1","258","16","5.5","0.2","247.685","19.505","827.496","782.32"
"4","24","13","9","248","15","5.3","0.2","245.37","18.558","823.657","778.618"
"4","24","14","396","295","15","5.2","0.2","670.706","24.889","2273.619","2177.201"
"4","24","15","34","289","15","5.4","0.2","311.525","19.476","1059.848","1006.44"
"4","24","16","18","204","14.6","5.3","0.2","204.224","17.576","697.394","656.828"
"4","24","17","343","181","14","4.8","0.2","315.06","18.888","1083.372","1029.129"
"4","24","18","591","59","13.1","3.5","0.2","163.713","15.977","459.109","426.986"
"4","24","19","315","30","11.5","2.2","0.2","26.211","12.018","53.034","35.3"
"4","24","20","0","0","10.3","2.1","0.2","0","10.3","0","0"
"4","24","21","0","0","10.1","2.7","0.2","0","10.1","0","0"
"4","24","22","0","0","10.2","3.4","0.2","0","10.2","0","0"
"4","24","23","0","0","10.4","3.9","0.2","0","10.4","0","0"
"4","25","0","0","0","10.8","4.1","0.2","0","10.8","0","0"
"4","25","1","0","0","11","4.3","0.2","0","11","0","0"
"4","25","2","0","0","10.8","4.7","0.2","0","10.8","0","0"
"4","25","3","0","0","10.5","4.9","0.2","0","10.5","0","0"
"4","25","4","0","0","10.2","5","0.2","0","10.2","0","0"
"4","25","5","0","0","10.1","4.7","0.2","0","10.1","0","0"
"4","25","6","0","6","10.4","4.2","0.2","5.558","10.493","16.15","0"
"4","25","7","0","4","11.5","4.3","0.2","3.708","11.562","11.039","0"
"4","25","8","0","7","13.1","4.6","0.2","6.498","13.204","19.609","3.06"
"4","25","9","0","40","14.4","4.7","0.2","37.218","14.984","119.584","99.493"
"4","25","10","2","164","14.7","5","0.2","156.2","17.054","522.905","488.522"
"4","25","11","0","115","14.2","5.4","0.2","107.688","15.743","355.672","327.215"
"4","25","12","12","303","13.9","5.6","0.2","303.049","18.139","1024.085","971.944"
"4","25","13","94","385","13.9","5.4","0.2","477.726","20.751","1620.329","1547.06"
"4","25","14","185","367","14.2","5.1","0.2","541.334","22.267","1839.759","1758.715"
"4","25","15","6","296","14.3","4.7","0.2","289.038","18.831","981.85","931.205"
"4","25","16","198","251","14.1","4.3","0.2","368.423","20.223","1273.873","1212.88"
"4","25","17","20","204","13.7","3.6","0.2","200.608","17.391","690.511","650.189"
"4","25","18","2","64","12.4","2.1","0.2","59.669","13.823","198.49","175.602"
"4","25","19","0","9","10.7","1.7","0.2","8.345","10.883","16.092","0"
"4","25","20","0","0","9.8","2.2","0.2","0","9.8","0","0"
"4","25","21","0","0","9.5","2.9","0.2","0","9.5","0","0"
"4","25","22","0","0","8.9","3.1","0.2","0","8.9","0","0"
"4","25","23","0","0","8.1","3","0.2","0","8.1","0","0"
"4","26","0","0","0","7.3","2.9","0.2","0","7.3","0","0"
"4","26","1","0","0","6.7","2.8","0.2","0","6.7","0","0"
"4","26","2","0","0","6.3","2.8","0.2","0","6.3","0","0"
"4","26","3","0","0","6.2","2.9","0.2","0","6.2","0","0"
"4","26","4","0","0","6.2","2.5","0.2","0","6.2","0","0"
"4","26","5","0","0","6.1","2","0.2","0","6.1","0","0"
"4","26","6","231","30","6.4","1.9","0.2","35.768","7.21","89.495","70.469"
"4","26","7","532","68","7.6","2","0.2","211.152","12.614","677.053","637.208"
"4","26","8","706","87","10.1","2.2","0.2","432.91","20.261","1516.465","1446.876"
"4","26","9","813","94","13.2","2.6","0.2","648.257","27.315","2218.961","2124.48"
"4","26","10","870","101","15.3","3.2","0.2","822.764","31.434","2751.049","2637.715"
"4","26","11","896","106","16.2","3.6","0.2","941.351","33.51","3103.4","2977.58"
"4","26","12","908","111","16.6","4","0.2","1000.628","33.93","3283.235","3151.043"
"4","26","13","903","114","16.6","4.1","0.2","988.812","33.484","3251.979","3120.894"
"4","26","14","879","116","16.5","4.1","0.2","907.228","32.002","3013.17","2890.548"
"4","26","15","844","114","16.1","4","0.2","774.666","29.547","2614.748","2506.243"
"4","26","16","782","108","15.7","3.9","0.2","587.383","26.067","2024.6","1937.006"
"4","26","17","692","94","15.2","3.5","0.2","376.381","22.209","1276.454","1215.37"
"4","26","18","546","70","14","2.7","0.2","168.029","17.4","480.729","447.84"
"4","26","19","264","36","12.3","1.9","0.2","28.588","12.9","57.83","39.926"
"4","26","20","0","0","11.4","2","0.2","0","11.4","0","0"
"4","26","21","0","0","11.1","2.2","0.2","0","11.1","0","0"
"4","26","22","0","0","10.9","2.6","0.2","0","10.9","0","0"
"4","26","23","0","0","10.9","3.4","0.2","0","10.9","0","0"
"4","27","0","0","0","10.5","4.1","0.2","0","10.5","0","0"
"4","27","1","0","0","9.5","4.4","0.2","0","9.5","0","0"
"4","27","2","0","0","8.5","4.1","0.2","0","8.5","0","0"
"4","27","3","0","0","8.2","4.3","0.2","0","8.2","0","0"
"4","27","4","0","0","8.5","4.8","0.2","0","8.5","0","0"
"4","27","5","0","0","8.8","4.6","0.2","0","8.8","0","0"
