"PVWatts Hourly PV Performance Data"
"Requested Location","Rabat"
"Location","Lat, Lng: 34.01, -6.82"
"Latitude (DD)","34.01"
"Longitude (DD)","-6.82"
"Elevation (m)","21"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","8","22","0","0","19.8","1.3","0.2","0","19.8","0","0"
"3","8","23","0","0","19.4","1.4","0.2","0","19.4","0","0"
"3","9","0","0","0","18.7","2","0.2","0","18.7","0","0"
"3","9","1","0","0","18","4","0.2","0","18","0","0"
"3","9","2","0","0","17.5","5.3","0.2","0","17.5","0","0"
"3","9","3","0","0","17.2","4.6","0.2","0","17.2","0","0"
"3","9","4","0","0","17.1","3.6","0.2","0","17.1","0","0"
"3","9","5","0","0","16.8","3.2","0.2","0","16.8","0","0"
"3","9","6","0","0","16.6","3","0.2","0","16.6","0","0"
"3","9","7","0","3","17","2.7","0.2","2.778","17.059","7.667","0"
"3","9","8","0","8","17.4","2.4","0.2","7.421","17.567","22.174","5.534"
"3","9","9","3","133","18.1","2.3","0.2","127.323","21.018","421.951","391.146"
"3","9","10","8","215","19.1","2","0.2","211.752","24.234","698.422","657.82"
"3","9","11","7","258","19.9","1.4","0.2","253.924","26.895","828.239","783.037"
"3","9","12","62","390","20.5","1.1","0.2","455.542","33.984","1466.488","1398.671"
"3","9","13","51","379","20.7","1.5","0.2","432.127","32.341","1399.893","1334.435"
"3","9","14","22","306","20.7","2.1","0.2","315.267","28.189","1034.425","981.917"
"3","9","15","26","261","20.5","2.4","0.2","271.122","26.594","899.789","852.052"
"3","9","16","8","153","19.8","2.5","0.2","150.471","23.129","501.858","468.221"
"3","9","17","0","52","18.8","2.6","0.2","48.674","19.855","155.85","134.474"
"3","9","18","2","10","18","2.9","0.2","9.513","18.165","17.618","1.14"
"3","9","19","0","0","17.7","3.3","0.2","0","17.7","0","0"
"3","9","20","0","0","17.4","3.9","0.2","0","17.4","0","0"
"3","9","21","0","0","16.9","4.3","0.2","0","16.9","0","0"
"3","9","22","0","0","16.2","4.4","0.2","0","16.2","0","0"
"3","9","23","0","0","15.6","4.4","0.2","0","15.6","0","0"
"3","10","0","0","0","15.1","4.2","0.2","0","15.1","0","0"
"3","10","1","0","0","14.9","4","0.2","0","14.9","0","0"
"3","10","2","0","0","14.9","3.6","0.2","0","14.9","0","0"
"3","10","3","0","0","14.8","3.2","0.2","0","14.8","0","0"
"3","10","4","0","0","15","3.1","0.2","0","15","0","0"
"3","10","5","0","0","15.2","3.6","0.2","0","15.2","0","0"
"3","10","6","0","0","15.2","4.1","0.2","0","15.2","0","0"
"3","10","7","0","16","15.7","4.2","0.2","14.84","15.948","44.961","27.513"
"3","10","8","0","49","17.1","3.5","0.2","45.555","17.952","148.109","127.007"
"3","10","9","52","253","19","2","0.2","287.08","25.983","960.579","910.688"
"3","10","10","73","329","20.7","0.9","0.2","391.038","32.906","1271.078","1210.184"
"3","10","11","347","376","21.6","0.9","0.2","719.018","44.055","2255.986","2160.193"
"3","10","12","770","188","22.1","1.7","0.2","953.88","46.8","2972.85","2851.656"
"3","10","13","783","178","22.3","2.5","0.2","935.384","42.968","2966.304","2845.342"
"3","10","14","773","162","22.2","2.9","0.2","837.296","39.456","2709.21","2597.357"
"3","10","15","635","181","21.7","3.1","0.2","639.19","34.46","2124.277","2033.152"
"3","10","16","530","148","20.8","3.1","0.2","423.512","29.269","1438.76","1371.925"
"3","10","17","328","100","19.2","2.7","0.2","191.768","23.214","600.773","563.631"
"3","10","18","12","16","17.6","2.4","0.2","15.221","17.888","28.911","12.032"
"3","10","19","0","0","16.9","2.3","0.2","0","16.9","0","0"
"3","10","20","0","0","16.3","1.8","0.2","0","16.3","0","0"
"3","10","21","0","0","15.8","1.2","0.2","0","15.8","0","0"
"3","10","22","0","0","15.5","0.8","0.2","0","15.5","0","0"
"3","10","23","0","0","15.5","0.6","0.2","0","15.5","0","0"
"3","11","0","0","0","15.6","1.5","0.2","0","15.6","0","0"
"3","11","1","0","0","15.5","2.5","0.2","0","15.5","0","0"
"3","11","2","0","0","15.5","2.9","0.2","0","15.5","0","0"
"3","11","3","0","0","15.4","2.8","0.2","0","15.4","0","0"
"3","11","4","0","0","15.3","2.4","0.2","0","15.3","0","0"
"3","11","5","0","0","15.3","1.9","0.2","0","15.3","0","0"
