"PVWatts Hourly PV Performance Data"
"Requested Location","Athens"
"Location","Lat, Lng: 37.97, 23.74"
"Latitude (DD)","37.97"
"Longitude (DD)","23.74"
"Elevation (m)","140"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","13","7","0","16","10.9","1.7","0.2","14.84","11.283","46.22","28.728"
"3","13","8","6","144","12.8","2.2","0.2","141.127","16.106","483.787","450.791"
"3","13","9","2","121","14.1","2","0.2","115.095","16.898","386.348","356.804"
"3","13","10","120","303","14.9","1.6","0.2","411.336","25.769","1380.806","1316.025"
"3","13","11","154","360","15","1.3","0.2","516.236","29.587","1705.704","1629.41"
"3","13","12","129","451","15.3","0.9","0.2","588.039","33.628","1908.111","1824.645"
"3","13","13","141","381","15.1","0.4","0.2","528.864","34.063","1715.375","1638.738"
"3","13","14","87","402","14.8","0.6","0.2","486.138","31.257","1596.271","1523.855"
"3","13","15","98","294","14.7","0.9","0.2","364.785","26.115","1227.578","1168.225"
"3","13","16","13","162","14.2","1","0.2","162.388","19.161","552.244","516.822"
"3","13","17","0","46","13.3","1.2","0.2","42.901","14.544","139.577","118.777"
"3","13","18","0","4","12.1","1.5","0.2","3.805","12.189","7.266","0"
"3","13","19","0","0","11.5","1.7","0.2","0","11.5","0","0"
"3","13","20","0","0","11.2","1.8","0.2","0","11.2","0","0"
"3","13","21","0","0","11.2","1.8","0.2","0","11.2","0","0"
"3","13","22","0","0","10.7","1.8","0.2","0","10.7","0","0"
"3","13","23","0","0","10.2","1.9","0.2","0","10.2","0","0"
"3","14","0","0","0","9.9","2","0.2","0","9.9","0","0"
"3","14","1","0","0","9.7","2.3","0.2","0","9.7","0","0"
"3","14","2","0","0","9.6","2.7","0.2","0","9.6","0","0"
"3","14","3","0","0","9.5","3","0.2","0","9.5","0","0"
"3","14","4","0","0","9.4","3.3","0.2","0","9.4","0","0"
"3","14","5","0","0","9.3","3.9","0.2","0","9.3","0","0"
"3","14","6","0","0","9.2","3.8","0.2","0","9.2","0","0"
"3","14","7","0","4","9.4","4.3","0.2","3.705","9.461","10.922","0"
"3","14","8","0","20","9.9","4.6","0.2","18.565","10.196","60.016","42.035"
"3","14","9","0","47","10.6","5","0.2","43.721","11.261","144.426","123.454"
"3","14","10","0","45","11.5","5.2","0.2","41.897","12.116","136.325","115.64"
"3","14","11","0","171","12","5.2","0.2","161.851","14.377","546.654","511.43"
"3","14","12","27","388","12.3","5.3","0.2","406.671","18.201","1387.079","1322.075"
"3","14","13","0","293","12.5","5.5","0.2","283.489","16.516","965.145","915.092"
"3","14","14","50","393","12.3","5.6","0.2","445.18","18.545","1529.91","1459.845"
"3","14","15","0","100","11.9","5.7","0.2","93.443","13.198","315.159","288.137"
"3","14","16","0","70","11.4","5.6","0.2","65.15","12.318","219.906","196.259"
"3","14","17","0","26","10.5","5.1","0.2","24.137","10.86","77.897","59.283"
"3","14","18","0","9","9.4","4.5","0.2","8.562","9.519","17.258","0.792"
"3","14","19","0","0","8.9","4.2","0.2","0","8.9","0","0"
"3","14","20","0","0","8.6","4.1","0.2","0","8.6","0","0"
"3","14","21","0","0","8.5","4","0.2","0","8.5","0","0"
"3","14","22","0","0","8.4","3.9","0.2","0","8.4","0","0"
"3","14","23","0","0","8.3","3.8","0.2","0","8.3","0","0"
"3","15","0","0","0","8.1","3.7","0.2","0","8.1","0","0"
"3","15","1","0","0","7.9","3.6","0.2","0","7.9","0","0"
"3","15","2","0","0","7.9","3.5","0.2","0","7.9","0","0"
"3","15","3","0","0","7.7","3.4","0.2","0","7.7","0","0"
"3","15","4","0","0","7.6","3.3","0.2","0","7.6","0","0"
"3","15","5","0","0","7.5","3.2","0.2","0","7.5","0","0"
"3","15","6","0","0","7.9","3.1","0.2","0","7.9","0","0"
"3","15","7","0","3","9.4","3.4","0.2","2.778","9.453","8.092","0"
"3","15","8","0","10","10.6","3.9","0.2","9.278","10.763","28.968","12.088"
"3","15","9","0","102","11.4","3.8","0.2","95.389","13.099","322.517","295.234"
"3","15","10","788","143","12.1","3.5","0.2","803.275","27.123","2733.739","2621.017"
"3","15","11","56","391","12.6","3.1","0.2","450.595","21.527","1525.105","1455.21"
"3","15","12","94","453","12.9","2.9","0.2","556.613","24.303","1868","1785.955"
"3","15","13","3","333","13","2.8","0.2","326.992","19.81","1103.201","1048.256"
"3","15","14","17","340","13","2.7","0.2","346.947","20.366","1176.562","1119.018"
"3","15","15","62","338","12.9","2.7","0.2","388.294","21.168","1330.134","1267.148"
"3","15","16","657","120","12.6","2.4","0.2","449.217","22.756","1564.311","1493.027"
"3","15","17","0","48","11.6","2.1","0.2","44.78","12.667","147.389","126.312"
"3","15","18","0","5","9.8","2.2","0.2","4.756","9.896","9.299","0"
"3","15","19","0","0","9","2.6","0.2","0","9","0","0"
"3","15","20","0","0","8.4","2.8","0.2","0","8.4","0","0"
"3","15","21","0","0","7.9","2.8","0.2","0","7.9","0","0"
"3","15","22","0","0","7.6","2.8","0.2","0","7.6","0","0"
"3","15","23","0","0","7.4","2.7","0.2","0","7.4","0","0"
"3","16","0","0","0","7.2","2.6","0.2","0","7.2","0","0"
"3","16","1","0","0","7","2.6","0.2","0","7","0","0"
