"PVWatts Hourly PV Performance Data"
"Requested Location","Yaoundé"
"Location","Lat, Lng: 3.85, 11.54"
"Latitude (DD)","3.85"
"Longitude (DD)","11.54"
"Elevation (m)","720"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","3","13","739","247","28.8","1.4","0.2","976.336","55.763","2904.037","2785.281"
"1","3","14","707","228","28.6","1.4","0.2","854.477","52.235","2598.747","2490.808"
"1","3","15","638","199","28.1","1.2","0.2","665.611","47.453","2086.714","1996.919"
"1","3","16","511","158","27.1","0.9","0.2","435.418","40.796","1413.949","1347.993"
"1","3","17","274","90","25.1","0.7","0.2","183.422","31.07","562.745","526.951"
"1","3","18","0","0","23.9","0.8","0.2","0","23.9","0","0"
"1","3","19","0","0","23.6","0.8","0.2","0","23.6","0","0"
"1","3","20","0","0","23.4","0.7","0.2","0","23.4","0","0"
"1","3","21","0","0","23.1","0.5","0.2","0","23.1","0","0"
"1","3","22","0","0","22.6","0.3","0.2","0","22.6","0","0"
"1","3","23","0","0","21.8","0.3","0.2","0","21.8","0","0"
"1","4","0","0","0","20.6","0.5","0.2","0","20.6","0","0"
"1","4","1","0","0","19.4","0.6","0.2","0","19.4","0","0"
"1","4","2","0","0","18.4","0.6","0.2","0","18.4","0","0"
"1","4","3","0","0","17.7","0.6","0.2","0","17.7","0","0"
"1","4","4","0","0","17.4","0.5","0.2","0","17.4","0","0"
"1","4","5","0","0","17.3","0.4","0.2","0","17.3","0","0"
"1","4","6","0","0","17.9","0.3","0.2","0","0","0","0"
"1","4","7","191","84","19.6","0.2","0.2","163.939","25.864","536.026","501.179"
"1","4","8","446","160","22.3","0.2","0.2","438.702","39.149","1426.252","1359.86"
"1","4","9","599","201","24.9","0.3","0.2","681.106","50.169","2101.141","2010.835"
"1","4","10","627","255","26.8","0.6","0.2","841.593","55.307","2516.864","2411.828"
"1","4","11","678","268","28.1","0.8","0.2","955.218","58.693","2800.594","2685.504"
"1","4","12","699","270","28.8","0.8","0.2","991.478","60.547","2879.463","2761.578"
"1","4","13","474","398","28.9","0.7","0.2","873.448","57.615","2566.824","2460.017"
"1","4","14","434","367","28.7","0.6","0.2","753.399","54.206","2260.126","2164.187"
"1","4","15","356","314","28.3","0.5","0.2","579.48","48.54","1794.395","1714.959"
"1","4","16","231","232","27.9","0.4","0.2","361.343","40.942","1159.175","1102.247"
"1","4","17","66","104","26.4","0.3","0.2","134.607","31.365","420.609","389.851"
"1","4","18","0","0","25.3","0.3","0.2","0","25.3","0","0"
"1","4","19","0","0","24.5","0.4","0.2","0","24.5","0","0"
"1","4","20","0","0","23.6","0.5","0.2","0","23.6","0","0"
"1","4","21","0","0","22.7","0.6","0.2","0","22.7","0","0"
"1","4","22","0","0","21.4","0.6","0.2","0","21.4","0","0"
"1","4","23","0","0","20.3","0.6","0.2","0","20.3","0","0"
"1","5","0","0","0","19.7","0.5","0.2","0","19.7","0","0"
"1","5","1","0","0","19.6","0.5","0.2","0","19.6","0","0"
"1","5","2","0","0","19.5","0.4","0.2","0","19.5","0","0"
"1","5","3","0","0","19.4","0.4","0.2","0","19.4","0","0"
"1","5","4","0","0","19.3","0.4","0.2","0","19.3","0","0"
"1","5","5","0","0","19.2","0.4","0.2","0","19.2","0","0"
"1","5","6","0","0","19.5","0.4","0.2","0","0","0","0"
"1","5","7","0","5","20.9","0.5","0.2","4.634","21.062","13.263","0"
"1","5","8","0","105","23","0.4","0.2","98.433","26.539","315.516","288.482"
"1","5","9","452","252","25","0.4","0.2","617.001","47.188","1920.421","1836.519"
"1","5","10","447","337","26.7","0.5","0.2","760.208","53.172","2286.605","2189.727"
"1","5","11","493","367","27.9","0.6","0.2","872.459","57.39","2565.484","2458.725"
"1","5","12","509","377","28.7","0.6","0.2","908.644","59.405","2645.176","2535.593"
"1","5","13","674","269","29.1","0.7","0.2","936.966","59.941","2735.553","2622.767"
"1","5","14","638","249","29","0.7","0.2","817.337","55.945","2444.31","2341.844"
"1","5","15","564","219","28.5","0.6","0.2","635.273","50.091","1965.952","1880.436"
"1","5","16","433","173","27.7","0.5","0.2","411.58","42.146","1325.525","1262.702"
"1","5","17","213","96","26.4","0.4","0.2","172.516","32.536","530.101","495.463"
"1","5","18","0","0","24.7","0.5","0.2","0","24.7","0","0"
"1","5","19","0","0","23.6","0.6","0.2","0","23.6","0","0"
"1","5","20","0","0","22.5","0.6","0.2","0","22.5","0","0"
"1","5","21","0","0","21.6","0.6","0.2","0","21.6","0","0"
"1","5","22","0","0","20.9","0.5","0.2","0","20.9","0","0"
"1","5","23","0","0","20.4","0.5","0.2","0","20.4","0","0"
"1","6","0","0","0","20.3","0.5","0.2","0","20.3","0","0"
"1","6","1","0","0","20.1","0.5","0.2","0","20.1","0","0"
"1","6","2","0","0","19.9","0.4","0.2","0","19.9","0","0"
"1","6","3","0","0","19.7","0.4","0.2","0","19.7","0","0"
"1","6","4","0","0","19.6","0.4","0.2","0","19.6","0","0"
"1","6","5","0","0","19.5","0.4","0.2","0","19.5","0","0"
"1","6","6","0","0","19.9","0.4","0.2","0","0","0","0"
"1","6","7","158","80","21.4","0.4","0.2","146.374","26.658","474.999","442.314"
"1","6","8","390","168","23.4","0.4","0.2","412.505","38.29","1342.704","1279.273"
"1","6","9","542","217","25.5","0.4","0.2","649.525","48.871","2012.395","1925.234"
"1","6","10","536","300","27","0.4","0.2","802.529","55.797","2391.089","2290.509"
"1","6","11","602","307","28.2","0.5","0.2","918.112","60.155","2672.107","2561.57"
"1","6","12","642","301","28.8","0.6","0.2","965.34","61.446","2790.489","2675.756"
"1","6","13","409","432","28.8","0.7","0.2","840.192","56.41","2478.836","2375.147"
"1","6","14","385","391","28.7","0.7","0.2","736.8","52.95","2219.109","2124.623"
"1","6","15","311","331","28.3","0.6","0.2","565.909","47.5","1756.954","1678.844"
"1","6","16","196","237","27.6","0.5","0.2","348.891","39.823","1122.057","1066.444"
"1","6","17","53","99","26.2","0.5","0.2","123.36","30.489","386.8","357.24"
"1","6","18","0","0","25.1","0.5","0.2","0","25.1","0","0"
"1","6","19","0","0","24.7","0.5","0.2","0","24.7","0","0"
