"PVWatts Hourly PV Performance Data"
"Requested Location","Tokyo"
"Location","Lat, Lng: 35.69, 139.7"
"Latitude (DD)","35.69"
"Longitude (DD)","139.70"
"Elevation (m)","39"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"9","28","18","0","0","22.1","1.2","0.2","0","22.1","0","0"
"9","28","19","0","0","21.9","1.1","0.2","0","21.9","0","0"
"9","28","20","0","0","21.7","1.2","0.2","0","21.7","0","0"
"9","28","21","0","0","21.6","1.4","0.2","0","21.6","0","0"
"9","28","22","0","0","21.5","1.4","0.2","0","21.5","0","0"
"9","28","23","0","0","21.5","1.5","0.2","0","21.5","0","0"
"9","29","0","0","0","21.5","1.4","0.2","0","21.5","0","0"
"9","29","1","0","0","21.5","1.3","0.2","0","21.5","0","0"
"9","29","2","0","0","21.5","1.2","0.2","0","21.5","0","0"
"9","29","3","0","0","21.5","1","0.2","0","21.5","0","0"
"9","29","4","0","0","21.5","1","0.2","0","21.5","0","0"
"9","29","5","0","0","21.7","0.9","0.2","0","0","0","0"
"9","29","6","114","67","22.4","1","0.2","93.653","25.21","284.576","258.638"
"9","29","7","24","114","23.2","1.3","0.2","121.59","26.653","396.93","367.011"
"9","29","8","238","235","23.7","1.4","0.2","406.09","34.961","1329.783","1266.809"
"9","29","9","195","312","25.3","1.4","0.2","482.671","38.645","1545.185","1474.578"
"9","29","10","222","358","26.4","1.3","0.2","576.746","42.7","1811.845","1731.79"
"9","29","11","17","254","27.2","1.5","0.2","259.455","34.184","820.633","775.7"
"9","29","12","166","339","27.5","1.8","0.2","505.557","40.276","1598.753","1526.249"
"9","29","13","271","304","27.4","2","0.2","547.981","40.717","1745.809","1668.094"
"9","29","14","189","235","27.1","2.2","0.2","368.354","35.721","1197.703","1139.41"
"9","29","15","299","140","26.3","2.2","0.2","289.037","33.082","953.37","903.734"
"9","29","16","254","61","25","1.9","0.2","128.695","28.12","381.259","351.895"
"9","29","17","10","3","23.7","1.6","0.2","3.556","23.774","5.327","0"
"9","29","18","0","0","23.1","1.4","0.2","0","23.1","0","0"
"9","29","19","0","0","22.8","1.2","0.2","0","22.8","0","0"
"9","29","20","0","0","22.6","1","0.2","0","22.6","0","0"
"9","29","21","0","0","22.5","0.9","0.2","0","22.5","0","0"
"9","29","22","0","0","22.4","0.9","0.2","0","22.4","0","0"
"9","29","23","0","0","22.3","0.9","0.2","0","22.3","0","0"
"9","30","0","0","0","22.1","0.9","0.2","0","22.1","0","0"
"9","30","1","0","0","21.8","0.9","0.2","0","21.8","0","0"
"9","30","2","0","0","21.5","1.1","0.2","0","21.5","0","0"
"9","30","3","0","0","21.1","1.3","0.2","0","21.1","0","0"
"9","30","4","0","0","20.9","1.5","0.2","0","20.9","0","0"
"9","30","5","0","0","21.3","1.8","0.2","0","0","0","0"
"9","30","6","70","59","22.5","2.4","0.2","75.265","24.172","230.302","206.287"
"9","30","7","490","113","24","2.8","0.2","351.499","31.386","1173.584","1116.145"
"9","30","8","222","232","24.8","3","0.2","385.321","32.607","1272.371","1211.432"
"9","30","9","385","275","26.5","2.9","0.2","608.631","39.024","1961.417","1876.062"
"9","30","10","271","345","27.2","2.7","0.2","618.607","40.35","1966.459","1880.925"
"9","30","11","209","378","27.5","2.6","0.2","593.971","40.341","1880.799","1798.3"
"9","30","12","415","309","27.5","2.5","0.2","723.599","43.461","2280.121","2183.473"
"9","30","13","387","240","27.2","2.5","0.2","585.157","40.128","1877.589","1795.204"
"9","30","14","467","182","26.7","2.4","0.2","514.815","38.321","1679.696","1604.324"
"9","30","15","236","128","25.7","2.2","0.2","245.849","31.468","811.61","766.997"
"9","30","16","326","65","23.9","1.8","0.2","149.651","27.592","441.801","410.292"
"9","30","17","8","3","22.2","1.4","0.2","3.403","22.275","5.253","0"
"9","30","18","0","0","21.5","1.3","0.2","0","21.5","0","0"
"9","30","19","0","0","21.1","1.1","0.2","0","21.1","0","0"
"9","30","20","0","0","20.9","0.9","0.2","0","20.9","0","0"
"9","30","21","0","0","20.6","0.8","0.2","0","20.6","0","0"
"9","30","22","0","0","20.2","0.9","0.2","0","20.2","0","0"
"9","30","23","0","0","19.9","1","0.2","0","19.9","0","0"
"10","1","0","0","0","19.7","1.1","0.2","0","19.7","0","0"
"10","1","1","0","0","19.6","1.1","0.2","0","19.6","0","0"
"10","1","2","0","0","19.5","1.2","0.2","0","19.5","0","0"
"10","1","3","0","0","19.5","1.2","0.2","0","19.5","0","0"
"10","1","4","0","0","19.4","1.1","0.2","0","19.4","0","0"
"10","1","5","0","0","19.8","1.1","0.2","0","0","0","0"
"10","1","6","97","67","21.2","1.4","0.2","89.958","23.653","275.877","250.248"
"10","1","7","428","139","23","1.7","0.2","349.12","32.073","1161.172","1104.173"
"10","1","8","579","169","24","1.7","0.2","571.515","38.855","1867.374","1785.351"
"10","1","9","0","54","22","4.1","0.2","50.299","22.855","157.233","135.808"
"10","1","10","2","60","22.9","4","0.2","57.772","23.895","180.053","157.819"
"10","1","11","3","62","23.5","3.8","0.2","60.675","24.576","188.687","166.146"
"10","1","12","20","106","23.8","3.7","0.2","120.899","25.979","386.67","357.115"
"10","1","13","10","72","23.5","3.6","0.2","77.176","24.914","244.355","219.843"
"10","1","14","6","59","22.8","3.7","0.2","58.943","23.866","186.822","164.347"
"10","1","15","0","24","21.6","3.6","0.2","22.286","22.01","68.719","50.43"
"10","1","16","0","20","20.1","3.1","0.2","18.557","20.469","56.398","38.545"
"10","1","17","0","0","18.6","2.5","0.2","0","0","0","0"
"10","1","18","0","0","17.8","2.2","0.2","0","17.8","0","0"
"10","1","19","0","0","17.2","1.7","0.2","0","17.2","0","0"
"10","1","20","0","0","16.8","1.4","0.2","0","16.8","0","0"
"10","1","21","0","0","16.5","1.3","0.2","0","16.5","0","0"
"10","1","22","0","0","16.2","1.2","0.2","0","16.2","0","0"
"10","1","23","0","0","16","1","0.2","0","16","0","0"
"10","2","0","0","0","15.7","0.9","0.2","0","15.7","0","0"
"10","2","1","0","0","15.6","0.9","0.2","0","15.6","0","0"
"10","2","2","0","0","15.6","0.8","0.2","0","15.6","0","0"
"10","2","3","0","0","15.6","0.7","0.2","0","15.6","0","0"
"10","2","4","0","0","15.6","0.6","0.2","0","15.6","0","0"
"10","2","5","0","0","16.1","0.6","0.2","0","0","0","0"
"10","2","6","180","74","17.4","0.7","0.2","118.956","21.245","365.084","336.293"
"10","2","7","393","144","19.4","0.9","0.2","337.808","30.006","1131.577","1075.627"
"10","2","8","21","113","20.5","1","0.2","122.951","24.248","402.083","371.981"
"10","2","9","688","166","23.5","1.6","0.2","754.853","43.515","2405.883","2304.779"
"10","2","10","73","451","24.8","1.9","0.2","531.594","37.942","1691.753","1615.953"
"10","2","11","74","474","25.5","2.2","0.2","560.017","38.531","1776.033","1697.247"
"10","2","12","24","303","25.8","2.6","0.2","315.095","32.603","1011.676","959.974"
"10","2","13","43","358","25.7","3","0.2","399.451","33.756","1291.707","1230.082"
"10","2","14","22","134","25.2","3.3","0.2","144.724","27.986","468.637","436.177"
"10","2","15","31","155","24.2","3.2","0.2","167.705","27.489","552.504","517.072"
"10","2","16","3","56","22.8","2.7","0.2","53.566","23.938","167.789","145.989"
"10","2","17","0","0","21.7","2.3","0.2","0","0","0","0"
"10","2","18","0","0","21.1","2.3","0.2","0","21.1","0","0"
"10","2","19","0","0","20.8","2.4","0.2","0","20.8","0","0"
"10","2","20","0","0","20.6","2.5","0.2","0","20.6","0","0"
"10","2","21","0","0","20.4","2.5","0.2","0","20.4","0","0"
"10","2","22","0","0","20.3","2.6","0.2","0","20.3","0","0"
"10","2","23","0","0","20.4","2.7","0.2","0","20.4","0","0"
"10","3","0","0","0","20.6","2.9","0.2","0","20.6","0","0"
"10","3","1","0","0","20.7","3","0.2","0","20.7","0","0"
"10","3","2","0","0","20.7","3","0.2","0","20.7","0","0"
"10","3","3","0","0","20.7","2.9","0.2","0","20.7","0","0"
"10","3","4","0","0","20.7","2.7","0.2","0","20.7","0","0"
"10","3","5","0","0","21","2.7","0.2","0","0","0","0"
"10","3","6","0","26","22.3","3.2","0.2","24.14","22.771","73.221","54.773"
"10","3","7","32","154","24.1","3.8","0.2","167.2","27.087","551.764","516.358"
"10","3","8","148","315","25.1","4.2","0.2","419.49","32.165","1385.462","1320.515"
"10","3","9","767","122","27.7","4.4","0.2","768.656","40.314","2486.787","2382.816"
"10","3","10","803","128","28.8","4.4","0.2","883.944","43.287","2808.933","2693.547"
"10","3","11","817","128","29.5","4.4","0.2","924.519","44.646","2915.571","2796.406"
"10","3","12","821","118","29.9","4.5","0.2","890.224","44.295","2817.98","2702.273"
"10","3","13","786","113","29.7","4.6","0.2","775.86","42.096","2492.798","2388.614"
"10","3","14","722","102","29.1","4.6","0.2","600.265","38.712","1970.705","1885.021"
"10","3","15","603","84","28","4.3","0.2","377.811","34.297","1250.75","1190.577"
"10","3","16","363","52","26.1","3.5","0.2","143.633","28.688","410.801","380.391"
"10","3","17","0","0","24.5","2.6","0.2","0","0","0","0"
"10","3","18","0","0","23.5","2","0.2","0","23.5","0","0"
"10","3","19","0","0","22.9","1.4","0.2","0","22.9","0","0"
"10","3","20","0","0","22.4","1.2","0.2","0","22.4","0","0"
"10","3","21","0","0","22.1","1","0.2","0","22.1","0","0"
"10","3","22","0","0","21.9","1.1","0.2","0","21.9","0","0"
"10","3","23","0","0","21.5","1.8","0.2","0","21.5","0","0"
"10","4","0","0","0","21","2.6","0.2","0","21","0","0"
"10","4","1","0","0","20.5","3","0.2","0","20.5","0","0"
"10","4","2","0","0","20.1","3.1","0.2","0","20.1","0","0"
"10","4","3","0","0","19.8","3","0.2","0","19.8","0","0"
"10","4","4","0","0","19.4","2.7","0.2","0","19.4","0","0"
"10","4","5","0","0","19.5","2.6","0.2","0","0","0","0"
"10","4","6","0","32","20.2","2.8","0.2","29.731","20.821","91.824","72.716"
"10","4","7","140","192","21.6","3.1","0.2","262.329","26.833","881.151","834.075"
"10","4","8","51","274","22.4","3.2","0.2","310.66","28.479","1030.683","978.308"
"10","4","9","59","374","24.6","3","0.2","430.822","33.292","1399.735","1334.283"
"10","4","10","156","489","25.5","2.6","0.2","651.061","39.574","2068.598","1979.445"
"10","4","11","81","473","25.9","2.3","0.2","566.509","38.833","1796.087","1716.59"
"10","4","12","24","285","25.8","2.1","0.2","297.048","32.85","951.842","902.261"
"10","4","13","21","108","25.5","2","0.2","121.394","28.445","386.613","357.059"
"10","4","14","22","156","24.9","2","0.2","167.097","28.963","542.009","506.949"
"10","4","15","14","87","23.8","1.9","0.2","88.02","25.99","284.434","258.501"
"10","4","16","0","37","22.4","1.7","0.2","34.395","23.288","105.728","86.127"
"10","4","17","0","0","21.3","1.6","0.2","0","0","0","0"
"10","4","18","0","0","20.7","1.6","0.2","0","20.7","0","0"
"10","4","19","0","0","20.4","1.6","0.2","0","20.4","0","0"
"10","4","20","0","0","20","1.8","0.2","0","20","0","0"
"10","4","21","0","0","19.7","2.2","0.2","0","19.7","0","0"
"10","4","22","0","0","19.3","2.4","0.2","0","19.3","0","0"
"10","4","23","0","0","18.9","2.5","0.2","0","18.9","0","0"
"10","5","0","0","0","18.5","2.6","0.2","0","18.5","0","0"
"10","5","1","0","0","18.2","2.8","0.2","0","18.2","0","0"
"10","5","2","0","0","17.8","3","0.2","0","17.8","0","0"
"10","5","3","0","0","17.4","3.1","0.2","0","17.4","0","0"
"10","5","4","0","0","17.1","3.2","0.2","0","17.1","0","0"
"10","5","5","0","0","16.8","3.4","0.2","0","0","0","0"
"10","5","6","0","33","16.6","3.7","0.2","30.665","17.153","96.338","77.07"
"10","5","7","15","98","16.6","4.2","0.2","99.236","18.274","332.947","305.295"
"10","5","8","0","44","16.7","4.4","0.2","40.928","17.369","131.275","110.769"
"10","5","9","0","42","17.1","4.6","0.2","39.103","17.721","123.782","103.542"
"10","5","10","0","42","17.6","4.5","0.2","39.132","18.229","122.919","102.709"
"10","5","11","0","47","17.9","4.3","0.2","43.809","18.623","137.821","117.083"
"10","5","12","0","47","18","4.2","0.2","43.796","18.733","137.961","117.218"
"10","5","13","5","61","17.9","4.2","0.2","60.884","18.922","195.868","173.074"
"10","5","14","0","22","17.5","4.3","0.2","20.447","17.839","63.398","45.297"
"10","5","15","16","103","17.1","4.1","0.2","104.62","18.89","350.858","322.572"
"10","5","16","0","24","16.6","3.9","0.2","22.28","16.99","68.947","50.65"
"10","5","17","0","0","16.3","3.9","0.2","0","0","0","0"
"10","5","18","0","0","16.2","3.8","0.2","0","16.2","0","0"
"10","5","19","0","0","16.4","3.7","0.2","0","16.4","0","0"
"10","5","20","0","0","16.6","3.7","0.2","0","16.6","0","0"
"10","5","21","0","0","16.8","3.9","0.2","0","16.8","0","0"
"10","5","22","0","0","17.1","3.8","0.2","0","17.1","0","0"
"10","5","23","0","0","17.5","3.9","0.2","0","17.5","0","0"
"10","6","0","0","0","17.8","4.3","0.2","0","17.8","0","0"
"10","6","1","0","0","18.2","4.2","0.2","0","18.2","0","0"
"10","6","2","0","0","18.8","3.4","0.2","0","18.8","0","0"
"10","6","3","0","0","19.3","2.6","0.2","0","19.3","0","0"
"10","6","4","0","0","20","2.5","0.2","0","20","0","0"
"10","6","5","0","0","21","3.3","0.2","0","0","0","0"
"10","6","6","0","6","22.5","5","0.2","5.559","22.584","15.595","0"
"10","6","7","0","11","23.8","6.8","0.2","10.206","23.926","29.994","13.077"
"10","6","8","0","21","24.3","7.5","0.2","19.517","24.524","58.481","40.554"
"10","6","9","0","32","24.7","7.8","0.2","29.783","25.032","90.043","70.998"
"10","6","10","0","41","25.2","7.2","0.2","38.198","25.65","115.9","95.939"
"10","6","11","0","44","26.4","7.1","0.2","41.008","26.888","123.915","103.67"
"10","6","12","776","137","27.2","7.3","0.2","864.038","37.352","2813.545","2697.996"
"10","6","13","800","107","26.7","7","0.2","774.356","36.088","2551.388","2445.127"
"10","6","14","767","88","25.3","6.4","0.2","607.093","33.152","2041.567","1953.372"
"10","6","15","666","70","23.5","5.6","0.2","386.353","28.957","1304.945","1242.851"
"10","6","16","423","43","21.2","4.4","0.2","145.022","23.471","411.543","381.106"
"10","6","17","0","0","19.2","3.4","0.2","0","0","0","0"
"10","6","18","0","0","18.1","2.9","0.2","0","18.1","0","0"
"10","6","19","0","0","17.5","2.5","0.2","0","17.5","0","0"
"10","6","20","0","0","17","2.2","0.2","0","17","0","0"
"10","6","21","0","0","16.6","2","0.2","0","16.6","0","0"
"10","6","22","0","0","16.3","1.9","0.2","0","16.3","0","0"
"10","6","23","0","0","16.1","1.9","0.2","0","16.1","0","0"
"10","7","0","0","0","15.8","2","0.2","0","15.8","0","0"
"10","7","1","0","0","15.5","2.1","0.2","0","15.5","0","0"
"10","7","2","0","0","15.1","2.2","0.2","0","15.1","0","0"
"10","7","3","0","0","14.5","2.3","0.2","0","14.5","0","0"
"10","7","4","0","0","13.9","2.2","0.2","0","13.9","0","0"
"10","7","5","0","0","14","2.3","0.2","0","0","0","0"
"10","7","6","368","52","15.4","2.9","0.2","143.014","18.232","422.731","391.898"
"10","7","7","628","87","17.4","3.5","0.2","389.064","24.688","1336.942","1273.715"
"10","7","8","221","303","18.4","3.7","0.2","461.887","26.772","1565.771","1494.435"
"10","7","9","821","116","20.2","3.6","0.2","801.723","34.972","2652.403","2542.564"
"10","7","10","849","125","21.1","3.4","0.2","916.709","38.499","2971.78","2850.624"
"10","7","11","850","131","21.6","3.2","0.2","951.818","40.245","3057.298","2933.111"
"10","7","12","838","128","21.9","3","0.2","908.476","40.304","2924.341","2804.865"
"10","7","13","783","131","21.9","2.9","0.2","784.074","38.076","2561.815","2455.186"
"10","7","14","697","122","21.4","2.9","0.2","597.268","33.749","2000.813","1914.062"
"10","7","15","146","181","20.3","2.8","0.2","253.435","25.619","854.378","808.25"
"10","7","16","308","53","18.6","2.4","0.2","127.422","21.361","370.694","341.705"
"10","7","17","0","0","17","2","0.2","0","0","0","0"
"10","7","18","0","0","16.3","1.8","0.2","0","16.3","0","0"
"10","7","19","0","0","16","1.6","0.2","0","16","0","0"
"10","7","20","0","0","15.7","1.4","0.2","0","15.7","0","0"
"10","7","21","0","0","15.6","1.3","0.2","0","15.6","0","0"
"10","7","22","0","0","15.4","1.1","0.2","0","15.4","0","0"
"10","7","23","0","0","15.3","1.1","0.2","0","15.3","0","0"
"10","8","0","0","0","15.1","1","0.2","0","15.1","0","0"
"10","8","1","0","0","15","1.1","0.2","0","15","0","0"
"10","8","2","0","0","14.9","1.1","0.2","0","14.9","0","0"
"10","8","3","0","0","14.7","1.2","0.2","0","14.7","0","0"
